Place,Name,Country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,In,Out,Total,Par66,Today
1,Damien Dyrdol,France,3,5,3,2,3,3,4,2,5,4,5,2,4,3,3,3,4,4,-3,-1,-4,1,0
2,Patrick Huber,Switzerland,2,4,4,3,2,3,3,2,4,3,8,3,4,4,4,3,4,3,-6,3,-3,,0
3,Richer Alexandre,France,3,4,3,4,3,3,3,3,5,5,5,3,4,3,4,2,4,2,-2,-1,-3,,0
4,Beck Elliot,Switzerland,3,4,3,4,3,3,4,2,5,4,4,3,5,3,3,2,4,4,-2,-1,-3,,0
5,Huber Vincent,Switzerland,4,4,4,3,3,3,4,2,6,4,4,2,4,4,3,3,4,3,0,-2,-2,1,0
6,Neil Shave,United Kingdom,4,5,3,4,2,2,3,4,4,3,6,2,5,4,3,3,4,3,-2,0,-2,,0
7,Michael Wilkes,Netherlands,4,5,3,3,3,2,4,2,5,4,5,4,4,4,3,3,4,3,-2,1,-1,1,0
8,Matias Perrone,Argentina,3,4,3,4,3,3,3,2,4,4,4,3,6,4,4,3,5,3,-4,3,-1,1,0
9,Mazzer Fabio,Italy,4,5,4,3,3,3,3,3,5,3,5,3,4,4,3,3,4,3,0,-1,-1,,0
10,Frejus Christophe,France,4,4,4,3,2,3,4,1,6,4,5,3,4,5,3,3,4,3,-2,1,-1,,0
11,Ben Clarke,United Kingdom,4,4,3,3,3,3,3,4,4,4,4,3,5,4,4,3,4,3,-2,1,-1,,0
12,Crevon Frederic,France,3,5,3,3,3,3,3,3,4,4,6,3,4,4,4,3,4,3,-3,2,-1,,0
13,Lionel Jacot,Switzerland,3,5,4,3,3,3,4,2,5,4,6,3,4,3,3,3,4,3,-1,0,-1,,0
14,Samuel Bosson,Switzerland,4,4,3,2,3,2,3,4,6,4,7,3,4,4,3,3,4,3,-2,2,0,1,0
15,Octavio Rodrigues,Switzerland,3,3,2,5,3,3,4,3,6,4,6,2,6,4,3,3,3,3,-1,1,0,,0
16,Davide Venturelli,Italy,4,4,4,3,2,3,3,2,5,3,6,4,5,4,3,3,4,4,-3,3,0,,0
17,Harmach Badre,France,4,3,3,4,2,3,3,4,4,4,7,2,5,4,4,3,4,3,-3,3,0,,0
18,Matthew Morgan,United Kingdom,3,4,4,5,2,3,3,3,5,4,6,2,5,3,5,3,4,2,-1,1,0,,0
19,Romain Barbe,France,3,4,3,4,3,3,2,2,5,4,6,3,4,4,3,3,6,4,-4,4,0,,0
20,Stijn Grondelaers,Belgium,2,5,3,4,4,3,4,3,6,4,4,2,4,4,3,2,5,4,1,-1,0,,0
21,Cedric Bonnot,France,3,6,3,4,2,3,3,2,5,4,7,3,4,3,3,3,4,4,-2,2,0,,0
22,Flávio Azenha,Portugal,4,5,4,3,5,3,3,4,5,4,4,2,3,4,4,2,4,3,3,-3,0,,0
23,David Mancino,Switzerland,3,4,4,3,3,3,3,3,5,4,6,3,4,4,3,4,5,3,-2,3,1,1,0
24,Marco Pavan,Italy,4,5,4,3,2,2,3,4,4,4,5,3,4,4,3,4,6,3,-2,3,1,,0
25,Nicolas Garcia,Argentina,4,3,3,3,3,3,4,4,5,4,5,3,3,5,3,3,5,4,-1,2,1,,0
26,Tomas Kikus,Slovakia,3,4,4,4,3,3,3,3,5,4,4,2,6,4,5,3,4,3,-1,2,1,,0
27,Éric Dyrdol,France,3,3,4,3,4,3,4,4,5,4,4,2,5,4,4,3,4,4,0,1,1,,0
28,Julian Kelkel,Germany,3,5,4,3,3,3,3,3,6,4,7,3,4,3,3,3,4,4,0,2,2,1,0
29,Francesco Lombardo,Italy,4,6,4,4,2,3,2,3,5,5,6,2,4,5,3,3,4,3,0,2,2,,0
30,György Podusil,Hungary,3,7,4,4,3,3,4,3,5,4,4,2,4,4,4,3,4,3,3,-1,2,,0
